YEAR_R,FULL_NAME,PROV_CODE,PROVINCE_N,PRODUCT,HARVEST_AREA
2014,กุ้งขาวแวนนาไม,93,พัทลุง,679,1605
2014,กุ้งขาวแวนนาไม,90,สงขลา,13348,1724
2014,กุ้งขาวแวนนาไม,91,สตูล,8488,1478
2014,กุ้งขาวแวนนาไม,94,ปัตตานี,2010,1581
2014,กุ้งขาวแวนนาไม,96,นราธิวาส,172,956
2014,กุ้งกุลาดำ,24,ฉะเชิงเทรา,149,810
2014,กุ้งกุลาดำ,22,จันทบุรี  ,202,918
2014,กุ้งกุลาดำ,21,ระยอง,91,1338
2014,กุ้งกุลาดำ,77,ประจวบคีรีขันธ์,178,886
2014,กุ้งกุลาดำ,86,ชุมพร,1019,1010
2014,กุ้งกุลาดำ,85,ระนอง,1012,1299
2014,กุ้งกุลาดำ,84,สุราษฎร์ธานี,920,967
2014,กุ้งกุลาดำ,82,พังงา,1298,1284
2014,กุ้งกุลาดำ,83,ภูเก็ต,553,1475
2014,กุ้งกุลาดำ,81,กระบี่,2463,941
2014,กุ้งกุลาดำ,92,ตรัง,2851,1553
2014,กุ้งกุลาดำ,80,นครศรีธรรมราช,592,987
2014,กุ้งกุลาดำ,93,พัทลุง,19,1583
2014,กุ้งกุลาดำ,90,สงขลา,808,806
2014,กุ้งกุลาดำ,91,สตูล,1309,1431
2014,กุ้งกุลาดำ,94,ปัตตานี,173,1352
2015,กุ้งขาวแวนนาไม,25,ปราจีนบุรี,4792,639
2015,กุ้งขาวแวนนาไม,24,ฉะเชิงเทรา,19306,1045
2015,กุ้งขาวแวนนาไม,22,จันทบุรี,33492,1780
2015,กุ้งขาวแวนนาไม,23,ตราด,22545,2504
2015,กุ้งขาวแวนนาไม,21,ระยอง,10694,1610
2015,กุ้งขาวแวนนาไม,20,ชลบุรี,1259,605
2015,กุ้งขาวแวนนาไม,11,สมุทรปราการ,3123,578
2015,กุ้งขาวแวนนาไม,74,สมุทรสาคร,10691,1072
2015,กุ้งขาวแวนนาไม,75,สมุทรสงคราม,1227,1160
2015,กุ้งขาวแวนนาไม,76,เพชรบุรี,6069,1316
2015,กุ้งขาวแวนนาไม,77,ประจวบคีรีขันธ์,12104,2000
2015,กุ้งขาวแวนนาไม,86,ชุมพร,10147,1986
2015,กุ้งขาวแวนนาไม,85,ระนอง ,10485,2906
2015,กุ้งขาวแวนนาไม,84,สุราษฎร์ธานี ,26453,1879
2015,กุ้งขาวแวนนาไม,82,พังงา,8314,2023
2015,กุ้งขาวแวนนาไม,83,ภูเก็ต,1325,1662
2015,กุ้งขาวแวนนาไม,81,กระบี่,7755,2081
2015,กุ้งขาวแวนนาไม,92,ตรัง  ,11030,2304
2015,กุ้งขาวแวนนาไม,80,นครศรีธรรมราช,14327,1152
2015,กุ้งขาวแวนนาไม,93,พัทลุง,1078,1925
2015,กุ้งขาวแวนนาไม,90,สงขลา,12126,1604
2015,กุ้งขาวแวนนาไม,91,สตูล,9526,1701
2015,กุ้งขาวแวนนาไม,94,ปัตตานี,2597,1976
2015,กุ้งขาวแวนนาไม,96,นราธิวาส,199,1259
2015,กุ้งกุลาดำ,24,ฉะเชิงเทรา,70,897
2015,กุ้งกุลาดำ,22,จันทบุรี,104,874
2015,กุ้งกุลาดำ,23,ตราด,24,706
2015,กุ้งกุลาดำ,21,ระยอง,88,1333
2015,กุ้งกุลาดำ,77,ประจวบคีรีขันธ์,145,868
2015,กุ้งกุลาดำ,86,ชุมพร,994,992
2015,กุ้งกุลาดำ,85,ระนอง ,648,1237
2015,กุ้งกุลาดำ,84,สุราษฎร์ธานี,922,973
2015,กุ้งกุลาดำ,82,พังงา,594,979
2015,กุ้งกุลาดำ,83,ภูเก็ต,528,1423
2015,กุ้งกุลาดำ,81,กระบี่,1625,931
2015,กุ้งกุลาดำ,92,ตรัง  ,1770,1383
2015,กุ้งกุลาดำ,80,นครศรีธรรมราช,400,907
2015,กุ้งกุลาดำ,93,พัทลุง,18,1059
2015,กุ้งกุลาดำ,90,สงขลา,325,613
2015,กุ้งกุลาดำ,91,สตูล,870,1379
2015,กุ้งกุลาดำ,94,ปัตตานี,152,1206
2016,กุ้งขาวแวนนาไม,25,ปราจีนบุรี,6952,642
2016,กุ้งขาวแวนนาไม,24,ฉะเชิงเทรา,19736,1054
2016,กุ้งขาวแวนนาไม,22,จันทบุรี,35233,1858
2016,กุ้งขาวแวนนาไม,23,ตราด,22702,2663
2016,กุ้งขาวแวนนาไม,21,ระยอง,11118,1705
2016,กุ้งขาวแวนนาไม,20,ชลบุรี,1369,619
2016,กุ้งขาวแวนนาไม,11,สมุทรปราการ,2982,572
2016,กุ้งขาวแวนนาไม,74,สมุทรสาคร,10320,1073
2016,กุ้งขาวแวนนาไม,75,สมุทรสงคราม,1566,1227
2016,กุ้งขาวแวนนาไม,76,เพชรบุรี,7105,1364
2016,กุ้งขาวแวนนาไม,77,ประจวบคีรีขันธ์,15735,2196
2016,กุ้งขาวแวนนาไม,86,ชุมพร,12988,2254
2016,กุ้งขาวแวนนาไม,85,ระนอง ,8912,2564
2016,กุ้งขาวแวนนาไม,84,สุราษฎร์ธานี ,39581,2300
2016,กุ้งขาวแวนนาไม,82,พังงา,8565,2031
2016,กุ้งขาวแวนนาไม,83,ภูเก็ต,1834,1763
2016,กุ้งขาวแวนนาไม,81,กระบี่,10469,2152
2016,กุ้งขาวแวนนาไม,92,ตรัง  ,16854,2747
2016,กุ้งขาวแวนนาไม,80,นครศรีธรรมราช,15040,1162
2016,กุ้งขาวแวนนาไม,93,พัทลุง,1065,2017
2016,กุ้งขาวแวนนาไม,90,สงขลา,15548,1788
2016,กุ้งขาวแวนนาไม,91,สตูล,9410,1685
2016,กุ้งขาวแวนนาไม,94,ปัตตานี,2990,2109
2016,กุ้งขาวแวนนาไม,96,นราธิวาส,312,2000
2016,กุ้งกุลาดำ,24,ฉะเชิงเทรา,153,911
2016,กุ้งกุลาดำ,22,จันทบุรี,123,885
2016,กุ้งกุลาดำ,23,ตราด,22,786
2016,กุ้งกุลาดำ,21,ระยอง,82,1323
2016,กุ้งกุลาดำ,77,ประจวบคีรีขันธ์,287,1000
2016,กุ้งกุลาดำ,86,ชุมพร,899,986
2016,กุ้งกุลาดำ,85,ระนอง ,915,1328
2016,กุ้งกุลาดำ,84,สุราษฎร์ธานี,355,899
2016,กุ้งกุลาดำ,82,พังงา,1475,1019
2016,กุ้งกุลาดำ,83,ภูเก็ต,1014,1560
2016,กุ้งกุลาดำ,81,กระบี่,1859,989
2016,กุ้งกุลาดำ,92,ตรัง  ,1414,1345
2016,กุ้งกุลาดำ,80,นครศรีธรรมราช,120,1154
2016,กุ้งกุลาดำ,93,พัทลุง,16,1000
2016,กุ้งกุลาดำ,90,สงขลา,167,717
2016,กุ้งกุลาดำ,91,สตูล,1294,1419
2016,กุ้งกุลาดำ,94,ปัตตานี,249,1332
2017,กุ้งขาวแวนนาไม,25,ปราจีนบุรี,8435,676
2017,กุ้งขาวแวนนาไม,24,ฉะเชิงเทรา,24069,1178
2017,กุ้งขาวแวนนาไม,22,จันทบุรี,35500,1867
2017,กุ้งขาวแวนนาไม,23,ตราด,23317,2973
2017,กุ้งขาวแวนนาไม,21,ระยอง,11482,1749
2017,กุ้งขาวแวนนาไม,20,ชลบุรี,1476,628
2017,กุ้งขาวแวนนาไม,11,สมุทรปราการ,3120,587
2017,กุ้งขาวแวนนาไม,74,สมุทรสาคร,11423,1166
2017,กุ้งขาวแวนนาไม,75,สมุทรสงคราม,1771,1355
2017,กุ้งขาวแวนนาไม,76,เพชรบุรี,8074,1504
2017,กุ้งขาวแวนนาไม,77,ประจวบคีรีขันธ์,18178,2500
2017,กุ้งขาวแวนนาไม,86,ชุมพร,12806,2200
2017,กุ้งขาวแวนนาไม,85,ระนอง ,9950,2956
2017,กุ้งขาวแวนนาไม,84,สุราษฎร์ธานี ,40103,2291
2017,กุ้งขาวแวนนาไม,82,พังงา,10000,2328
2017,กุ้งขาวแวนนาไม,83,ภูเก็ต,1787,1645
2017,กุ้งขาวแวนนาไม,81,กระบี่,10243,2034
2017,กุ้งขาวแวนนาไม,92,ตรัง  ,22311,3191
2017,กุ้งขาวแวนนาไม,80,นครศรีธรรมราช,17210,1277
2017,กุ้งขาวแวนนาไม,93,พัทลุง,1399,2039
2017,กุ้งขาวแวนนาไม,90,สงขลา,17896,1972
2017,กุ้งขาวแวนนาไม,91,สตูล,7917,1671
2017,กุ้งขาวแวนนาไม,94,ปัตตานี,3146,2130
2017,กุ้งขาวแวนนาไม,96,นราธิวาส,252,1537
2017,กุ้งกุลาดำ,24,ฉะเชิงเทรา,404,1171
2017,กุ้งกุลาดำ,22,จันทบุรี,109,948
2017,กุ้งกุลาดำ,23,ตราด,29,829
2017,กุ้งกุลาดำ,21,ระยอง,87,1338
2017,กุ้งกุลาดำ,77,ประจวบคีรีขันธ์,490,1241
2017,กุ้งกุลาดำ,86,ชุมพร,906,975
2017,กุ้งกุลาดำ,85,ระนอง,922,1334
2017,กุ้งกุลาดำ,84,สุราษฎร์ธานี,360,1161
2017,กุ้งกุลาดำ,82,พังงา,2008,1210
2017,กุ้งกุลาดำ,83,ภูเก็ต,1028,1562
2017,กุ้งกุลาดำ,81,กระบี่,2215,1011
2017,กุ้งกุลาดำ,92,ตรัง,814,1357
2017,กุ้งกุลาดำ,80,นครศรีธรรมราช,92,1034
2017,กุ้งกุลาดำ,93,พัทลุง,8,1333
2017,กุ้งกุลาดำ,90,สงขลา,384,776
2017,กุ้งกุลาดำ,91,สตูล,860,1458
2017,กุ้งกุลาดำ,94,ปัตตานี,254,1337
2018,กุ้งขาวแวนนาไม,25,ปราจีนบุรี,9923,674
2018,กุ้งขาวแวนนาไม,24,ฉะเชิงเทรา,24803,1168
2018,กุ้งขาวแวนนาไม,22,จันทบุรี,30556,1667
2018,กุ้งขาวแวนนาไม,23,ตราด,23573,3113
2018,กุ้งขาวแวนนาไม,21,ระยอง,10974,1688
2018,กุ้งขาวแวนนาไม,20,ชลบุรี,1409,617
2018,กุ้งขาวแวนนาไม,11,สมุทรปราการ,3049,579
2018,กุ้งขาวแวนนาไม,74,สมุทรสาคร,10134,1123
2018,กุ้งขาวแวนนาไม,75,สมุทรสงคราม,2621,1330
2018,กุ้งขาวแวนนาไม,76,เพชรบุรี,8834,1512
2018,กุ้งขาวแวนนาไม,77,ประจวบคีรีขันธ์,21987,2685
2018,กุ้งขาวแวนนาไม,86,ชุมพร,13969,2262
2018,กุ้งขาวแวนนาไม,85,ระนอง ,8759,2893
2018,กุ้งขาวแวนนาไม,84,สุราษฎร์ธานี ,40625,2412
2018,กุ้งขาวแวนนาไม,82,พังงา,10763,2437
2018,กุ้งขาวแวนนาไม,83,ภูเก็ต,1836,1609
2018,กุ้งขาวแวนนาไม,81,กระบี่,10040,2014
2018,กุ้งขาวแวนนาไม,92,ตรัง  ,22518,3205
2018,กุ้งขาวแวนนาไม,80,นครศรีธรรมราช,18010,1322
